,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,5000,95,1,4.69,4.88,0.4,4.69,4.88
1,10000,95,1,3.36,3.67,0.4,3.36,3.67
2,15000,95,1,4.15,5.42,0.4,4.15,5.42
3,20000,95,1,2.84,3.04,0.4,2.84,3.04
4,25000,95,1,2.62,3.05,0.4,2.62,3.05
5,30000,95,1,2.8,3.43,0.4,2.8,3.43
6,35000,95,1,3.38,3.49,0.4,3.38,3.49
7,40000,95,1,3.01,3.12,0.4,3.01,3.12
8,45000,95,1,2.91,3.09,0.4,2.91,3.09
9,50000,95,1,3.23,3.04,0.4,3.23,3.04
10,55000,95,1,3.18,2.89,0.4,3.18,2.89
11,60000,95,1,2.18,2.63,0.4,2.18,2.63
12,65000,95,1,2.27,2.56,0.4,2.27,2.56
13,70000,95,1,2.63,2.57,0.4,2.63,2.57
14,75000,95,1,2.36,2.57,0.4,2.36,2.57
15,80000,95,1,2.62,3.44,0.4,2.62,3.44
16,85000,95,1,2.96,3.15,0.4,2.96,3.15
17,90000,95,1,2.88,3.45,0.4,2.88,3.45
18,95000,95,1,2.29,2.93,0.4,2.29,2.93
19,100000,95,1,2.16,2.71,0.4,2.16,2.71
